"","MeanDecreaseGini"
"age",35.8843691781365
"sex",19.8822549483811
"chest_pain_type",58.2989053176278
"resting_bp_s",32.0179908072337
"cholesterol",36.311893131294
"fasting_blood_sugar",6.75677174955279
"resting_ecg",11.79686829723
"max_heart_rate",52.7254018750224
"exercise_angina",35.2043244050594
"oldpeak",47.1695128191415
"st_slope",91.4844433891785
"risk_score",42.0969140026416
